City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Gat,IL,2022-06-12 16:26:06,31.61,34.7642,77.77,100,0,10.4,clear sky
182,Ciudad Bolivar,VE,2022-06-12 16:28:43,8.1222,-63.5497,83.73,68,95,7.99,overcast clouds
183,Kieta,PG,2022-06-12 16:28:44,-6.2167,155.6333,78.78,80,23,4.72,few clouds
184,Deputatskiy,RU,2022-06-12 16:28:44,69.3,139.9,47.82,60,4,6.42,clear sky
185,Berlevag,NO,2022-06-12 16:28:44,70.8578,29.0864,49.95,62,100,20.71,overcast clouds
186,Kijang,KR,2022-06-12 16:28:45,35.2442,129.2139,65.93,84,100,10.31,overcast clouds
187,Santa Vitoria,BR,2022-06-12 16:28:45,-18.8386,-50.1214,72.21,41,95,8.79,overcast clouds
188,Cidreira,BR,2022-06-12 16:28:45,-30.1811,-50.2056,54.72,58,5,19.98,clear sky
189,Puerto Ayora,EC,2022-06-12 16:28:46,-0.7393,-90.3518,78.76,90,73,5.99,broken clouds
190,Cabedelo,BR,2022-06-12 16:28:46,-6.9811,-34.8339,86.67,72,35,9.48,scattered clouds
191,Xuddur,SO,2022-06-12 16:28:46,4.1213,43.8894,79.57,60,99,16.46,overcast clouds
192,Lodja,CD,2022-06-12 16:25:58,-3.4833,23.4333,84.51,43,99,1.66,overcast clouds
193,North Bend,US,2022-06-12 16:28:47,43.4065,-124.2243,56.25,100,100,8.05,mist
194,Coari,BR,2022-06-12 16:28:47,-4.085,-63.1414,72.79,85,99,3.06,overcast clouds
195,Upernavik,GL,2022-06-12 16:28:47,72.7868,-56.1549,29.3,76,92,13.65,overcast clouds
196,Buraydah,SA,2022-06-12 16:28:48,26.326,43.975,104.45,8,0,9.22,clear sky
197,Ojinaga,MX,2022-06-12 16:28:48,29.5667,-104.4167,98.56,31,0,4.61,clear sky
198,Leningradskiy,RU,2022-06-12 16:28:48,69.3833,178.4167,36.72,66,26,10.58,scattered clouds
199,Saint Anthony,US,2022-06-12 16:28:04,45.0205,-93.218,73.09,79,100,14.97,overcast clouds
200,Nome,US,2022-06-12 16:28:49,64.5011,-165.4064,42.17,60,100,6.91,overcast clouds
201,East London,ZA,2022-06-12 16:24:50,-33.0153,27.9116,76.14,27,0,10.36,clear sky
202,Amboasary,MG,2022-06-12 16:28:49,-25.0333,46.3833,65.66,72,0,8.34,clear sky
203,Young,UY,2022-06-12 16:28:49,-32.6833,-57.6333,56.53,47,0,4.85,clear sky
204,Mocuba,MZ,2022-06-12 16:28:50,-16.8392,36.9856,64.31,96,57,3.76,light rain
205,Weymouth,US,2022-06-12 16:28:50,42.2209,-70.9398,80.83,59,75,10.36,broken clouds
206,Bosobolo,CD,2022-06-12 16:28:50,4.1833,19.9,79.74,71,100,2.53,light rain
207,Hasaki,JP,2022-06-12 16:28:51,35.7333,140.8333,57.6,72,13,4.61,few clouds
208,Mao,ES,2022-06-12 16:28:51,39.8885,4.2658,82.96,47,0,8.05,clear sky
209,Corn Island,NI,2022-06-12 16:28:51,12.1694,-83.0418,78.49,86,100,16.8,overcast clouds
210,Benguela,AO,2022-06-12 16:28:52,-12.5763,13.4055,78.53,57,14,6.62,few clouds
211,Arraial Do Cabo,BR,2022-06-12 16:28:52,-22.9661,-42.0278,69.66,78,75,12.66,broken clouds
212,Caravelas,BR,2022-06-12 16:28:52,-17.7125,-39.2481,79.61,66,100,2.57,overcast clouds
213,San Patricio,US,2022-06-12 16:28:53,28.017,-97.5169,93.07,42,55,14.94,broken clouds
214,Rockhampton,AU,2022-06-12 16:28:53,-23.3833,150.5,46.29,87,13,0.0,few clouds
215,Vershino-Shakhtaminskiy,RU,2022-06-12 16:28:53,51.3012,117.8868,48.79,99,94,3.78,overcast clouds
216,Olinda,BR,2022-06-12 16:28:53,-8.0089,-34.8553,83.93,65,20,9.22,few clouds
217,Port Macquarie,AU,2022-06-12 16:28:54,-31.4333,152.9167,42.89,72,62,8.97,broken clouds
218,Buribay,RU,2022-06-12 16:28:54,51.9617,58.1592,55.33,67,1,13.18,clear sky
219,Robertsport,LR,2022-06-12 16:28:54,6.7533,-11.3686,81.45,78,80,10.87,light rain
220,Meulaboh,ID,2022-06-12 16:28:55,4.1363,96.1285,76.64,86,100,7.09,overcast clouds
221,Ekhabi,RU,2022-06-12 16:28:55,53.5102,142.9671,48.33,82,36,9.98,scattered clouds
222,Manyana,BW,2022-06-12 16:28:55,-23.4,21.7167,61.09,38,0,5.14,clear sky
223,Bac Lieu,VN,2022-06-12 16:23:57,9.285,105.7244,81.82,82,87,6.69,overcast clouds
224,Lincoln,US,2022-06-12 16:25:32,40.8,-96.667,80.87,77,0,10.36,clear sky
225,Dzhebariki-Khaya,RU,2022-06-12 16:28:56,62.2167,135.8,56.08,87,100,5.77,light rain
226,Manokwari,ID,2022-06-12 16:28:56,-0.8667,134.0833,78.6,76,18,2.71,few clouds
227,Goderich,CA,2022-06-12 16:28:57,43.7501,-81.7165,61.12,88,90,4.61,overcast clouds
228,Portland,US,2022-06-12 16:26:03,45.5234,-122.6762,56.08,90,100,8.05,light rain
229,Ustrzyki Dolne,PL,2022-06-12 16:28:57,49.4304,22.5938,70.12,100,4,7.25,clear sky
230,Buala,SB,2022-06-12 16:28:57,-8.145,159.5921,78.87,77,94,4.18,overcast clouds
231,Gravdal,NO,2022-06-12 16:28:58,68.1214,13.5031,58.89,72,0,6.91,clear sky
232,Codrington,AU,2022-06-12 16:28:58,-38.2667,141.9667,52.23,81,100,7.7,overcast clouds
233,Kendari,ID,2022-06-12 16:28:58,-3.945,122.4989,74.19,95,100,0.72,overcast clouds
234,Moree,AU,2022-06-12 16:25:08,-29.4667,149.85,42.93,81,100,11.5,overcast clouds
235,Chokurdakh,RU,2022-06-12 16:29:00,70.6333,147.9167,49.87,41,12,11.1,few clouds
236,Rialma,BR,2022-06-12 16:29:00,-15.315,-49.5844,88.47,31,89,2.26,overcast clouds
237,Aktas,KZ,2022-06-12 16:29:00,49.7789,72.9608,65.95,48,100,9.73,overcast clouds
238,Iqaluit,CA,2022-06-12 16:29:00,63.7506,-68.5145,42.53,60,20,12.66,few clouds
239,Zambrow,PL,2022-06-12 16:29:01,52.9855,22.2432,71.1,57,40,7.2,scattered clouds
240,Zhicheng,CN,2022-06-12 16:29:01,30.2956,111.5047,68.05,90,100,1.45,overcast clouds
241,Chernyshevskiy,RU,2022-06-12 16:29:01,63.0128,112.4714,45.12,88,34,1.88,scattered clouds
242,Kununurra,AU,2022-06-12 16:29:02,-15.7667,128.7333,55.38,71,32,1.14,scattered clouds
243,Sioux Lookout,CA,2022-06-12 16:29:02,50.1001,-91.917,64.47,42,75,11.5,broken clouds
244,Erenhot,CN,2022-06-12 16:29:02,43.6475,111.9767,60.06,57,85,12.8,overcast clouds
245,Tigzirt,DZ,2022-06-12 16:29:03,36.8886,4.1198,79.97,48,2,10.83,clear sky
246,Darhan,MN,2022-06-12 16:29:03,49.4867,105.9228,62.04,41,86,0.36,overcast clouds
247,Tomatlan,MX,2022-06-12 16:29:03,19.9333,-105.25,90.97,49,7,3.02,clear sky
248,Samana,DO,2022-06-12 16:29:04,19.2056,-69.3369,86.22,79,40,6.91,scattered clouds
249,Ketchikan,US,2022-06-12 16:29:04,55.3422,-131.6461,50.47,87,75,6.91,light rain
250,Dharchula,IN,2022-06-12 16:29:04,29.85,80.5333,75.36,45,67,6.13,broken clouds
251,Banyo,CM,2022-06-12 16:29:05,6.75,11.8167,68.34,93,100,3.27,light rain
252,Port Hedland,AU,2022-06-12 16:29:05,-20.3167,118.5667,69.85,78,100,0.0,overcast clouds
253,Dhidhdhoo,MV,2022-06-12 16:26:16,6.8833,73.1,82.62,74,100,9.35,moderate rain
254,Broken Hill,AU,2022-06-12 16:29:05,-31.95,141.4333,43.59,85,24,6.6,few clouds
255,Kathu,TH,2022-06-12 16:29:06,7.9178,98.3332,85.69,99,90,11.3,overcast clouds
256,Ulladulla,AU,2022-06-12 16:29:06,-35.35,150.4667,48.13,75,32,7.36,scattered clouds
257,Jiayuguan,CN,2022-06-12 16:29:06,39.8167,98.3,70.2,8,0,4.41,clear sky
258,San Cristobal,VE,2022-06-12 16:29:07,7.7669,-72.225,71.78,93,100,5.19,overcast clouds
259,Agadez,NE,2022-06-12 16:29:07,19.75,10.25,107.53,7,2,8.68,clear sky
260,Airai,TL,2022-06-12 16:29:07,-8.9266,125.4092,55.83,87,88,3.09,overcast clouds
261,Port Augusta,AU,2022-06-12 16:29:08,-32.5,137.7667,48.67,84,97,3.44,overcast clouds
